,Stage Name,Full Name,Date of Birth,Group,Country,Second Country,Birthplace,Other Group,Former Group,Position
Female,A-ra,Choi Eunji,2003-07-25,Girls' World,South Korea,,Seoul,,,
Female,Aeji,Kwon Aeji,1999-10-25,Hashtag,South Korea,,Daegu,,,
Female,AhIn,Lee Ahin,1999-09-27,MOMOLAND,South Korea,,Wonju,,,
Female,Ahra,Go Ahra,2001-02-21,Favorite,South Korea,,Yeosu,,,
Female,Ahyeon,Jung Ahyeon,2007-04-11,BABYMONSTER,South Korea,,,,,
Female,Ahyoon,Choi Subin,2004-10-23,BOTOPASS,South Korea,,,,,
Female,Ahyoon,Shin Ahyoon,2003-09-24,Queenz Eye,South Korea,,Seoul,,,
Female,Ahyoung,Cho Jayoung,1991-05-26,Dal Shabet,South Korea,,Seoul,,,
Female,Ahyung,Kang Ahyoung,1996-08-27,P.O.P,South Korea,,Pohang,,,
Female,Ailee,Lee Yejin,1989-05-30,,South Korea,USA,Denver,,,
Female,Aini,Kim Heejung,1991-07-13,,South Korea,,,,Pink Fantasy,
Female,Aisha,Heo Yoorim,2000-07-21,Everglow,South Korea,,,,,
Female,Aki,Jang Minju,2001-02-12,MAJORS,South Korea,,,,,
Female,AleXa,Kim Seri,1996-12-06,,USA,,,,,
Female,Alice,Song Joohee,1990-03-21,Hello Venus,South Korea,,Wonju,,,
Female,Alice,Cheon Jaeyoung,2002-02-20,TRACER,South Korea,,,,,
Female,Amber,Amber Josephine Liu,1992-09-18,f(x),USA,Taiwan,Los Angeles,,,
Female,Andamiro,Yeon Seongju,2003-05-06,Geenius,South Korea,,,,,
Female,Anne,Lee Seoyoung,2000-10-17,GWSN,South Korea,,,,,
Female,Ara,Lee Yunji,2002-01-23,ILY:1,South Korea,,,,,
Female,Aran,Jeong Eunah,2004-10-11,FIFTY FIFTY,South Korea,,,,,
Female,Arang,Son Mnjung,2000-03-08,,South Korea,,,,NeonPunch,
Female,Arang,Park Yerim,2001-01-22,Pink Fantasy,South Korea,,,,,
Female,Areum,Kim Daun,1998-01-31,AREAL,South Korea,,,,Rose Finger,
Female,Ari,Kim Sunyoung,1994-10-23,Tahiti,South Korea,,Daegu,,,
Female,Aria,Baby Gauthami,2003-03-12,X:IN,India,,,,,
Female,Arie,Jeon Minjae,2000-04-07,MIXX,South Korea,,,,,
Female,Arin,Choi Yewon,1999-06-18,Oh My Girl,South Korea,,Busan,,,
Female,Asa,Enami Asa,2006-04-17,BABYMONSTER,Japan,,,,,
Female,Ashley,Ashley Choi,1991-11-09,Ladies' Code,South Korea,USA,Incheon,,,
Female,Aurora,Yang Lan,1997-01-14,NATURE,China,,,,,
Female,Ayamy,Suzuki Ayami,2000-07-15,Bling Bling,Japan,,,,,
Female,Ayeon,Son Minji,2002-09-29,Saturday,South Korea,,,,,
